Time	stat-140323-165754-Porta8-1.txt	stat-140323-170110-Porta8-2.txt	stat-140323-170443-Porta8-3.txt	stat-140323-170827-Porta8-4.txt	stat-140323-171146-Porta8-5.txt	stat-140323-171538-Porta8-6.txt	stat-140323-172116-Porta8-7.txt	stat-140323-172430-Porta8-8.txt	stat-140323-175630-Porta8-9.txt	stat-140323-180112-Porta8-10.txt	stat-140323-180435-Porta8-11.txt	stat-140323-181113-Porta8-12.txt	stat-140323-181502-Porta8-13.txt	stat-140323-181815-Porta8-14.txt	stat-140323-182337-Porta8-15.txt	stat-140323-182724-Porta8-16.txt	stat-140323-183053-Porta8-17.txt	stat-140323-183416-Porta8-18.txt	stat-140323-184039-Porta8-19.txt	stat-140323-211037-Porta8-20.txt	stat-140323-211944-Porta8-21.txt	stat-140323-212256-Porta8-22.txt	stat-140323-212658-Porta8-23.txt	stat-140323-213104-Porta8-24.txt	stat-140323-213427-Porta8-25.txt	stat-140323-213801-Porta8-26.txt	stat-140323-214220-Porta8-27.txt	stat-140323-214643-Porta8-28.txt	stat-140323-215116-Porta8-29.txt	stat-140323-215431-Porta8-30.txt
0	1	1	2	1	1	1	1	1	1	2	1	1	1	2	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	2	
1	0	0	0	1	0	0	0	0	1	1	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	
2	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	
3	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
