Time	stat-140325-141141-1.txt	stat-140325-141803-2.txt	stat-140325-142325-3.txt	stat-140325-142843-4.txt	stat-140325-143543-5.txt	stat-140325-144118-6.txt	stat-140325-144646-7.txt	stat-140325-145638-8.txt	stat-140325-150236-9.txt	stat-140325-150735-10.txt	stat-140325-151320-11.txt	stat-140325-151904-12.txt	stat-140325-152845-13.txt	stat-140325-153619-14.txt	stat-140325-155215-15.txt	stat-140325-160153-16.txt	stat-140325-160905-17.txt	stat-140325-161439-18.txt
75	1	1	1	1	1	1	1	1	19	1	5	1	1	1	1	19	1	0	
76	1	0	1	1	0	0	1	1	1	1	1	19	0	3	1	1	0	0	
77	0	0	0	0	0	0	0	0	1	2	1	1	0	0	0	1	0	0	
78	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	
79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	
80	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	
81	0	1	0	0	1	1	0	0	0	0	0	2	1	0	0	0	0	1	
82	1	1	1	1	1	1	1	1	0	1	0	0	1	1	1	0	1	1	
83	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	
84	1	0	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	0	
85	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	0	0	
86	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	
87	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
88	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	2	0	
89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	
91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
94	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	
95	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	
96	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	
97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
99	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	
100	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	
101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	
102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	
105	0	21	0	0	21	21	0	0	0	0	0	0	21	0	0	0	0	5	
106	21	5	21	21	5	5	21	0	0	6	0	0	5	21	21	0	21	25	
107	5	25	5	5	25	25	5	21	21	15	21	0	25	5	5	20	5	1	
108	25	1	25	25	1	1	25	5	5	5	5	21	0	25	25	1	25	1	
109	1	1	1	1	1	1	1	25	25	25	25	5	1	0	1	5	1	3	
110	1	3	1	1	3	1	1	1	1	1	1	25	1	1	1	25	1	1	
111	1	1	1	3	1	1	3	1	1	1	1	1	1	1	3	1	1	1	
112	1	1	1	1	1	3	1	1	3	1	1	1	1	1	1	1	1	1	
113	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	
114	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	
115	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
116	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	
117	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
118	1	1	1	1	1	1	1	1	44	1	1	3	1	1	45	1	1	1	
119	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5	3	1	1	
120	0	1	1	1	1	1	1	1	5	1	1	1	1	1	1	1	1	1	
121	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
122	1	1	1	1	1	1	1	1	1	1	1	1	1	3	0	1	1	1	
123	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	
124	1	1	1	1	1	1	1	1	3	1	1	1	1	1	3	1	1	1	
125	1	1	1	1	1	1	1	1	1	1	7	1	1	1	1	1	1	1	
126	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
127	3	1	1	1	1	1	1	1	5	1	1	1	1	1	5	1	1	1	
128	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	
129	1	1	1	1	1	1	1	1	3	1	1	1	1	1	3	1	1	1	
130	1	1	19	1	1	1	1	1	1	1	3	25	1	1	1	1	1	1	
131	1	1	0	1	1	1	1	1	1	1	1	5	1	1	1	1	1	1	
132	1	1	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
133	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	
134	1	1	1	1	1	11	1	1	1	1	1	1	1	1	1	1	1	1	
135	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
136	1	1	3	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	
137	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	
138	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
139	1	1	5	1	1	3	1	1	1	1	3	5	1	1	1	1	1	1	
140	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	
141	1	1	3	1	3	1	1	1	1	1	1	3	1	1	3	1	1	1	
142	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
143	1	1	1	1	1	0	1	3	1	1	1	1	1	1	1	1	1	1	
144	1	1	1	1	0	1	1	1	1	1	1	1	3	2	1	1	1	1	
145	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
146	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
147	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	3	1	1	
148	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	
149	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	
150	1	1	1	1	1	1	1	1	11	1	1	1	1	1	11	1	1	1	
151	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	
152	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
153	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	
154	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
155	1	1	1	1	1	1	1	0	1	1	1	1	1	1	3	1	1	1	
156	1	3	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	
157	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
158	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
159	1	1	1	1	1	1	3	1	3	1	1	1	1	1	3	1	1	1	
160	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	0	1	
161	1	1	1	1	1	1	1	1	1	15	1	1	1	1	1	1	1	1	
162	1	1	11	1	1	1	1	1	1	1	1	11	1	1	1	1	1	1	
163	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
164	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
165	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	
166	3	1	1	1	1	3	1	1	0	3	1	1	1	3	1	1	1	1	
167	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	
168	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	
169	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	
170	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
171	1	1	3	1	1	1	1	3	1	1	1	3	1	1	3	1	1	1	
172	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
173	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	
174	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
175	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	3	1	1	
176	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	
177	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	
178	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
179	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
180	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
181	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
182	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
183	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
184	1	1	1	1	1	1	1	1	1	3	1	1	0	1	1	1	1	1	
185	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
186	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	
187	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
188	1	1	1	1	1	1	1	1	1	1	1	1	3	3	1	1	1	1	
189	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
