Time	stat-140325-170333-1.txt	stat-140325-170728-2.txt	stat-140325-171101-3.txt	stat-140325-171911-4.txt	stat-140325-172134-5.txt	stat-140325-172357-6.txt	stat-140325-172619-7.txt	stat-140325-172842-8.txt	stat-140325-173105-9.txt	stat-140325-173328-10.txt	stat-140325-173551-11.txt	stat-140325-173813-12.txt	stat-140325-174036-13.txt	stat-140325-174259-14.txt	stat-140325-174521-15.txt	stat-140325-174744-16.txt	stat-140325-175006-17.txt	stat-140325-175228-18.txt
75	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
76	1	1	1	1	1	1	1	1	1	1	1	1	3	3	1	1	1	1	
77	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
78	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	5	3	
79	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
80	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	
81	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
82	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
83	1	15	15	15	15	17	17	15	19	15	15	17	17	17	15	17	17	17	
84	8	3	3	3	3	3	3	3	3	3	3	3	9	3	3	3	3	3	
85	9	29	29	29	29	29	29	29	29	29	29	29	23	29	31	29	29	29	
86	25	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	
87	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
88	3	0	0	2	0	2	0	2	0	0	0	2	0	0	0	0	0	0	
89	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	
90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	
91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
97	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	
98	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	
99	2	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	
100	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	
101	4	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	
102	2	0	2	-	-	-	-	-	-	2	2	-	-	-	2	-	-	-	
103	2	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
104	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
105	-	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
106	-	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
