Time	stat-140325-204135-1.txt	stat-140325-204419-2.txt	stat-140325-204702-3.txt	stat-140325-204945-4.txt	stat-140325-205228-5.txt	stat-140325-205510-6.txt	stat-140325-205753-7.txt	stat-140325-210036-8.txt	stat-140325-210320-9.txt	stat-140325-210603-10.txt	stat-140325-210846-11.txt	stat-140325-211130-12.txt	stat-140325-211413-13.txt	stat-140325-211657-14.txt	stat-140325-211940-15.txt	stat-140325-212223-16.txt
84	238	222	240	228	230	248	218	222	218	238	224	230	220	226	232	232	
85	246	242	240	232	212	224	240	234	220	242	250	242	234	230	224	242	
86	228	230	218	250	242	242	222	210	232	222	240	240	230	236	250	250	
87	236	248	238	230	248	236	228	228	236	236	218	218	234	236	240	234	
88	224	232	222	228	226	216	230	242	234	228	204	232	230	230	230	230	
89	236	228	240	242	248	240	236	240	230	238	236	230	234	232	226	230	
90	234	232	232	242	218	232	228	236	242	232	256	256	240	240	226	226	
91	226	232	226	220	246	232	228	222	220	264	228	224	230	230	236	224	
92	234	242	228	230	230	244	228	248	250	234	236	234	246	232	230	224	
93	236	232	253	240	238	230	238	234	212	240	246	248	232	238	242	232	
94	234	242	259	236	240	242	236	254	228	228	238	236	224	238	232	238	
95	234	192	226	230	240	234	230	238	240	224	232	230	244	232	236	230	
96	230	236	194	236	222	0	240	242	232	232	218	244	242	230	224	232	
97	240	238	0	236	218	0	248	240	238	238	236	240	244	238	260	218	
98	214	224	0	172	38	2	240	184	210	210	236	228	240	218	220	226	
99	92	90	0	0	0	0	126	0	0	8	124	118	98	0	212	140	
100	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	
101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
102	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	
103	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	
104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
106	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	
107	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	
108	0	0	2	2	2	2	0	2	0	0	0	0	0	2	0	0	
109	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	
110	2	2	-	2	2	0	2	2	2	2	2	2	2	2	2	2	
111	2	2	-	2	2	2	2	2	2	2	2	2	2	2	2	2	
112	2	2	-	-	0	-	2	-	2	2	2	2	2	0	2	2	
113	-	-	-	-	2	-	-	-	0	0	0	0	0	2	0	0	
114	-	-	-	-	-	-	-	-	2	2	2	2	2	-	2	0	
115	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	
