Time	stat-140323-165754-Porta80-1.txt	stat-140323-170110-Porta80-2.txt	stat-140323-170443-Porta80-3.txt	stat-140323-170827-Porta80-4.txt	stat-140323-171146-Porta80-5.txt	stat-140323-171538-Porta80-6.txt	stat-140323-172116-Porta80-7.txt	stat-140323-172430-Porta80-8.txt	stat-140323-175630-Porta80-9.txt	stat-140323-180112-Porta80-10.txt	stat-140323-180435-Porta80-11.txt	stat-140323-181113-Porta80-12.txt	stat-140323-181502-Porta80-13.txt	stat-140323-181815-Porta80-14.txt	stat-140323-182337-Porta80-15.txt	stat-140323-182724-Porta80-16.txt	stat-140323-183053-Porta80-17.txt	stat-140323-183416-Porta80-18.txt	stat-140323-184039-Porta80-19.txt	stat-140323-211037-Porta80-20.txt	stat-140323-211944-Porta80-21.txt	stat-140323-212256-Porta80-22.txt	stat-140323-212658-Porta80-23.txt	stat-140323-213104-Porta80-24.txt	stat-140323-213427-Porta80-25.txt	stat-140323-213801-Porta80-26.txt	stat-140323-214220-Porta80-27.txt	stat-140323-214643-Porta80-28.txt	stat-140323-215116-Porta80-29.txt	stat-140323-215431-Porta80-30.txt
37	1255	384	1234	1455	1155	1541	702	65	1547	1420	1713	1157	1382	1448	1382	0	47	1495	219	1569	1329	1391	1542	199	681	1093	0	287	907	0	
38	1330	1453	706	1157	1606	1400	626	1365	1660	1512	1845	0	1012	853	1409	1460	1208	1298	1352	1653	1226	1561	1406	1325	1389	1173	584	1342	644	0	
39	1425	1002	654	1497	1933	1369	158	1094	1858	1579	1487	0	0	854	1415	1331	1439	311	1270	1281	1709	53	1412	1470	1279	1417	1347	1609	1544	1008	
40	1472	596	1586	25	1710	1713	1215	1207	737	1690	1391	1267	0	533	1244	456	758	0	767	1195	1828	25	916	1146	809	653	1322	1478	1415	1149	
41	1407	0	1414	453	1629	532	1483	1358	1410	1625	1615	1483	642	0	1219	1170	0	0	0	0	1594	1457	1351	1035	407	0	1112	1289	1167	1216	
42	0	326	1540	1146	1325	628	1480	1555	1707	1288	1371	1530	973	0	1174	1127	0	242	0	0	1285	1289	1444	1282	1369	0	964	1418	619	233	
43	539	1260	1425	1325	1332	1507	1404	1439	1099	1430	1414	1494	1385	711	1309	1300	1284	1508	273	602	1334	984	1499	1524	1251	696	1188	1238	0	0	
44	1352	1695	1711	1378	1140	1128	1297	1275	1576	400	1783	1378	1125	1275	1464	1102	1505	998	1400	1466	1233	20	1501	1381	1117	1643	1297	1484	891	0	
45	1231	1300	1662	1647	928	1041	1388	1265	525	0	1630	1529	1448	489	1420	1269	1490	0	1088	1259	1279	0	785	437	1546	1714	976	1459	1179	712	
46	1659	1561	1166	1062	1307	384	1530	1167	380	0	907	1431	1116	1010	340	1465	1694	0	0	1522	1459	0	17	1456	1399	323	1367	1788	1074	1560	
