Time	stat-140323-165754-Porta90-1.txt	stat-140323-170110-Porta90-2.txt	stat-140323-170443-Porta90-3.txt	stat-140323-170827-Porta90-4.txt	stat-140323-171146-Porta90-5.txt	stat-140323-171538-Porta90-6.txt	stat-140323-172116-Porta90-7.txt	stat-140323-172430-Porta90-8.txt	stat-140323-175630-Porta90-9.txt	stat-140323-180112-Porta90-10.txt	stat-140323-180435-Porta90-11.txt	stat-140323-181113-Porta90-12.txt	stat-140323-181502-Porta90-13.txt	stat-140323-181815-Porta90-14.txt	stat-140323-182337-Porta90-15.txt	stat-140323-182724-Porta90-16.txt	stat-140323-183053-Porta90-17.txt	stat-140323-183416-Porta90-18.txt	stat-140323-184039-Porta90-19.txt	stat-140323-211037-Porta90-20.txt	stat-140323-211944-Porta90-21.txt	stat-140323-212256-Porta90-22.txt	stat-140323-212658-Porta90-23.txt	stat-140323-213104-Porta90-24.txt	stat-140323-213427-Porta90-25.txt	stat-140323-213801-Porta90-26.txt	stat-140323-214220-Porta90-27.txt	stat-140323-214643-Porta90-28.txt	stat-140323-215116-Porta90-29.txt	stat-140323-215431-Porta90-30.txt
23	1922316	1682284	1094032	1427844	1408040	1620168	1304428	1261580	938360	1797520	1572972	1426304	1142496	1926516	1562372	1799220	1054260	1480828	1207300	1652500	1071552	865636	1403452	1222712	1643584	762640	0	500764	1209516	101572	
24	1103536	1537516	1727264	1340440	1213140	1695676	1277528	1810972	1199196	1834204	1603160	1323604	1466640	1208612	1026560	1376768	1644768	239268	1060484	1414168	1004792	871028	1157560	1060164	2194068	1448964	643356	2039092	1574388	1707092	
25	991800	0	741996	1191460	1075192	829904	1399380	1247384	1593580	2008768	1782588	1389924	1694064	456812	0	0	820952	1005560	207540	0	0	1426168	1498408	412360	1199000	419192	839696	1447336	1483652	1241692	
26	1524660	0	0	955964	990832	1605632	844332	1542220	1252396	1227196	696120	0	1413372	1441320	899260	0	1871264	1273068	0	0	0	1351504	1756208	1474652	1489952	0	0	1976484	1109936	678376	
27	1635068	1224384	0	2038276	1137572	1673064	0	1149900	1941496	0	0	745636	1489080	1462016	1877364	806276	1438616	1419960	683412	335696	0	1348008	1311936	1517872	897912	118324	1359436	1124244	0	1442648	
28	1071944	1774580	1334448	1789716	1344112	1811540	1100652	1225240	1921204	0	1243676	1283820	804048	1322908	1539952	1257596	1139940	1309868	2181600	1633156	848924	1647204	1788780	1187300	1589140	1615004	1548404	625820	0	1609880	
29	1166484	1759044	1311020	2011456	1498616	1691400	1246096	1636084	1191520	1259708	1859776	1270704	0	1358284	2480256	1082244	1716104	1676328	1520688	1337248	2070824	1524824	1581784	1682744	1236944	1219468	1934812	0	324668	1717908	
30	483152	1792228	1501124	2001532	671952	1529040	1634920	1657968	22864	1147904	1520596	982192	324736	1904656	901136	1484252	1487872	1723760	1275752	265988	1597608	1654696	807708	313268	2283464	1856616	804460	0	1027216	2030344	
31	155760	1285920	1618268	1509652	0	0	1373148	1304080	1484888	1143444	943968	0	1003204	1253960	307580	1218060	1257908	1822364	1371464	0	355048	1530944	0	0	1393556	1358488	0	561852	1651684	1488684	
32	1904372	1444456	1613624	1728260	0	0	1229696	1664524	1631464	1593724	1180008	695480	1300572	1633532	0	1204968	1667248	1811744	1416536	0	0	1421972	0	0	1740168	1663200	0	1784628	1479860	1661464	
33	1256280	860988	492880	1911068	0	35176	952548	731560	1274108	1117848	782872	1101024	1006416	1122480	0	1391764	1232492	1088100	632344	723248	0	822684	240496	1327904	1541580	1489072	0	1145408	1243252	1158696	
34	718456	569156	0	633412	641440	692336	100924	680928	555724	701388	0	729740	705552	733732	164020	825060	691260	674384	667716	686116	167860	0	402864	949280	893608	625364	0	530188	562672	631468	
35	672152	208828	0	419072	618048	673712	662628	165120	710388	749812	0	717324	697296	655184	628732	64092	273492	721644	364116	713248	740448	0	618240	229672	296972	245816	333060	216640	645732	679252	
36	607452	0	293608	655524	0	545424	647988	0	708628	708784	600784	650848	630920	730272	652392	0	0	756508	0	650600	581800	363116	241372	0	0	185756	188704	0	626128	88976	
37	527824	180120	567516	727316	375500	680276	456928	0	595080	644640	688932	508132	666276	629880	622484	0	0	690532	83852	703780	633692	629436	710864	139924	227664	536100	0	114528	444616	0	
38	549600	594608	334168	598504	613860	594836	306728	670616	653744	690472	670612	0	463080	549696	697444	680348	502084	572724	554148	697100	578444	694828	668456	684900	652488	483100	215296	703860	234952	0	
39	564192	521640	320408	677788	816436	564620	38176	579264	709824	730364	655184	0	0	514476	568292	595800	694464	165788	604932	569516	762416	39468	668368	630012	564452	606268	646468	698372	663376	541304	
40	635524	268660	700408	9000	653276	747272	557548	517128	312388	723740	601828	617684	0	230428	606428	209040	380528	0	357088	462488	763244	0	547244	654092	428372	316224	594420	582524	708376	690932	
41	675352	0	624880	229476	712096	243900	662556	607328	576724	687524	684920	620952	431456	0	565712	466488	0	0	0	0	636224	655072	576388	511192	115404	0	551592	600144	602424	625640	
42	0	228228	656528	510864	596640	277940	605696	709152	722856	582776	662660	669160	518848	0	536052	531252	0	98592	0	0	510420	614696	635224	595200	603716	0	563588	609220	377316	113392	
43	215352	604616	632284	608236	693964	611724	641348	573256	496500	664712	629960	657664	661908	408556	606944	626232	479380	561508	125396	339964	577744	453124	665848	647580	533848	291804	582836	608772	0	0	
44	633100	687452	709924	565916	544448	564064	545996	599496	687224	93216	680420	648792	628768	628068	658548	552056	598444	531284	621016	635852	669584	19864	633312	668912	576988	717984	724532	743320	467380	0	
45	535972	577040	727368	680580	492000	555420	552340	583816	295992	0	770296	716920	657316	262368	654952	544172	684468	0	567088	612560	616380	0	573324	288780	681420	712856	486456	711984	642484	289680	
46	695012	625896	550992	506384	490064	180980	659868	565068	137400	56540	500376	651536	585424	607332	158600	616228	674784	0	0	700696	632676	0	46664	638796	555856	189172	686788	744844	539892	639264	
47	594120	649580	645768	597320	756228	202516	599484	630068	744388	543248	596512	536260	606976	633016	0	624620	650652	170132	0	592168	0	554356	468692	592956	551356	0	651432	690400	648612	623908	
48	529352	658072	265916	612708	620136	618152	323060	587052	725564	551944	600576	692632	592252	646084	478616	618456	705368	607880	456552	584852	0	699912	579996	658576	560348	192224	675360	493140	110576	699624	
49	624016	643136	289976	634244	544244	563328	626164	612948	623216	713272	525012	659284	587952	539744	665320	580576	683084	593492	735992	693824	245296	599232	629588	530328	578076	590364	608808	607284	0	667156	
50	594968	608708	659916	507992	531880	584076	513732	498480	666488	475236	559964	682616	279532	656320	710016	249640	509156	605016	693532	522456	584404	541168	630420	675792	414872	598848	693844	282500	0	688884	
51	738040	415572	604948	695124	120112	576348	656560	729020	556132	0	613140	698876	0	630324	242400	497560	0	588192	649796	294272	658252	587016	86904	571416	286888	497016	229324	0	420968	632444	
52	409704	727500	701668	108112	619868	611952	729668	516964	568808	587264	538340	601148	316928	688928	0	567472	102320	670688	597516	0	0	566640	0	544400	593984	595796	0	0	647848	693540	
53	694928	578524	192484	606348	609192	537308	401052	577152	652900	754188	604284	686084	706056	651920	316792	744424	675520	602900	639140	42832	0	638264	143860	577348	629636	586776	0	166620	680896	736332	
54	616032	606512	0	614544	647836	580316	0	646396	589756	610036	169256	652872	592256	557428	639276	681032	577980	578932	709560	621888	0	612984	672512	629004	633636	619360	0	545468	574664	646620	
55	614908	581316	0	492976	601036	564848	0	678744	552784	655560	0	586752	649740	120528	694472	233868	176380	638076	583036	736524	598252	0	639228	186168	449112	554068	0	642360	607152	541640	
56	516048	0	606116	598036	661428	543788	495852	584588	680272	344200	0	582600	624560	0	637392	0	0	675544	707128	342856	686660	42832	201120	0	0	338512	0	19656	619036	611952	
57	259472	0	680296	0	52592	541332	657908	199768	585528	536496	395624	414968	692920	530684	555532	175712	0	557108	624284	0	697408	559140	0	0	0	0	326876	0	622140	273972	
